Account nr,Account name
7232,Profit shares to white-collar employees and managers (employees outside Sweden)
7237,Severance pay to white-collar employees and managers (employees outside Sweden)
7238,"Gross salary deduction, white-collar employees and managers (employees outside Sweden)"
7239,Accrued pay and profit shares to white-collar employees and managers (employees outside Sweden)
7240,Directors’ remuneration
7280,Pay to white-collar employees and managers for time not worked
7281,Statutory sick pay to white-collar employees
7282,Statutory sick pay to managers
7283,Parental pay to white-collar employees
7284,Parental pay to managers
7285,Holiday pay to white-collar employees
7286,Holiday pay to managers
7288,Other pay to white-collar employees for time not worked
7289,Other pay to managers for time not worked
7290,Change in accrued holiday pay liability
7291,Change in accrued holiday pay liability to white-collar employees
7292,Change in accrued holiday pay liability to managers
7300,Cash remuneration and benefits in kind (control account)
7310,Additional cash remuneration
7311,Remuneration for attendance at meetings etc.
7312,"Remuneration for suggestion activities, inventions"
7313,Remuneration for/contribution towards housing costs
7314,Remuneration for/contribution towards meal costs
7315,Remuneration for/contribution towards travel to and from workplace
7316,Remuneration for/contribution towards work clothing
7317,Remuneration for/contribution towards work materials and tools
7318,Funds to cover miscalculations
7319,Other additional cash remunera­tion
7320,"Subsistence allowances, business travel"
7321,"Tax-exempt subsistence allowances, Sweden"
7322,"Taxable subsistence allow­ances, Sweden"
7323,"Tax-exempt subsistence allowances, overseas"
7324,"Taxable subsistence allowances, overseas"
7330,Mileage allowances
7331,"Mileage allowances, tax-exempt"
7332,"Mileage allowances, taxable"
7333,"Reimbursement for congestion tax, tax-exempt"
7350,Allowance for mandatory working clothing
7370,Business entertainment allowance
7380,Costs of benefits in kind to employees
7381,Costs of free housing
7382,Costs of free or subsidised meals
7383,Costs of free travel to and from the workplace
7384,Costs of free or subsidised work clothing
7385,Costs of free car
7386,Subsidised interest
7387,Costs of home computers
7388,Employee reimbursements for benefits
7389,Other costs of benefits in kind
7390,Other cash remuneration and benefits in kind
7391,Cost of congestion tax benefit
7392,Cost of benefit for household­related services
7400,Pensions (control account)
7410,Pension insurance premiums
7411,Collective agreement pension insurance premiums
7412,Individual pension insurance premiums
7418,Bonuses from insurance compa­nies
7420,Change in pension provision
7430,Deduction: Interest portion of pension costs
7440,Change in pension fund
7441,Transfer to pension fund
7448,Indemnification from pension fund
7460,Pension payments
7461,Pension payments to former employees under collective agreements
7462,Pension payments to former white-collar employees
7463,Pension payments to former managers
7470,Administration charges and credit insurance premiums
7490,Other pension costs
7500,Statutory and contractual social secu­rity and other contributions (control account)
7510,"Statutory social security contributions 31,42%"
7511,"Statutory social security contributions on wages, salaries and other remuneration"
7512,Statutory social security contributions on value of taxable benefits
7515,Statutory social security contributions on taxable cash remuneration
7516,Social security contributions on fees
7518,Statutory social security contributions on gross wages/salary deductions etc.
7519,Statutory social security contributions on holiday pay and wage/salary liabilities
7530,Special payroll tax
7531,Special payroll tax on certain insurance compensation etc.
7532,"Special payroll tax on pension costs, tax return item"
7533,Special payroll tax on pension costs
7550,Yield tax on pension funds
7551,Yield tax 15 % insurance company
7552,Yield tax 15 % foreign insurance company
7553,Yield tax 30 % insurance company
7554,Yield tax 30 % foreign endowment insurance
7570,Labour market insurance premiums
7571,Labour market insurance schemes
7572,"Labour market insurance, pension insurance premiums, tax return item"
7580,Group insurance premiums
7581,Group life insurance
7582,Group sickness insurance
7583,Group accident insurance
7589,Other group insurance premiums
7590,Other statutory and contractual social security contributions
7600,Other personnel costs (control account)
7610,Training
7620,Health care
7621,"Health care, tax-deductible"
7622,"Health care, non tax-deductible"
7623,"Health care insurance, non-tax‑deductible"
7630,Entertainment of personnel
7631,"Entertainment of personnel, tax-deductible"
7632,"Entertainment of personnel, non tax-deductible"
7650,Sickness insurance
7670,Change in staff fund
7671,Transfer to staff fund
7678,Indemnification from staff fund
7690,Other personnel costs
7691,Staff recruitment
7692,Assistance towards funeral expenses
7693,Leisure activities
7699,Other personnel costs
7710,Write-downs of intangible fixed assets
7720,Write-downs of land and buildings
7730,Write-downs of machinery and equip­ment
7740,Write-downs of certain current assets
7760,Reversed write-downs of intangible fixed assets
7770,Reversed write-downs of land and buildings
7780,Reversed write-downs of machinery and equipment
7790,Reversed write-downs of certain current assets
7810,Amortisation of intangible fixed assets
7811,Amortisation of capitalised expenditure
7812,Amortisation of concessions etc.
7813,Amortisation of patents
7814,Amortisation of licences
7815,Amortisation of trademarks
7816,Amortisation of tenancy rights
7817,Amortisation of goodwill
7819,Amortisation of other intangible fixed assets
7820,Depreciation on buildings and land improvements
7821,Depreciation on buildings
7824,Depreciation on land improvements
7829,Depreciation on other buildings
7830,Depreciation on machinery and equipment
7831,Depreciation on plant and machinery
7832,Depreciation on equipment and tools
7833,Depreciation on fixtures and fittings
7834,Depreciation on cars and other transport equipment
7835,Depreciation on computers
7836,Depreciation on leased assets
7839,Depreciation on other machinery and equipment
7840,Depreciation on cost of improvements to leased property
7940,Unrealised positive/negative value change in hedging instruments
7960,Exchange losses on operating receivables and liabilities
7970,Losses on sale of intangible and tangi­ble fixed assets
7971,Losses on sale of intangible fixed assets
7972,Losses on sale of land and buildings
7973,Losses on sale of machinery and equipment
7990,Other operating expenses
8010,Dividends on participations in group companies
8012,Dividends on participations in subsidiaries
8016,"Capitalisation issue, group companies"
8020,Proceeds from sale of participations in group companies
8022,Proceeds from sale of participa­tions in subsidiaries
8030,Profit share in partnerships (subsidiar­ies)
8070,"Write-downs of participations and long-term receivables, group companies"
8072,Write-downs of participations in subsidiaries
8076,"Write-downs of long-term receivables, parent company"
8077,"Write-downs of long-term receivables, subsidiaries"
8080,"Reversed write-downs of participations and long-term receivables, group com­panies"
8082,Reversal of write-downs of participations in subsidiaries
8086,"Reversal of write-downs of long-term receivables, parent company"
8087,"Reversal of write-downs of long-term receivables, subsidiaries"
8110,"Dividends from associated companies, jointly controlled companies and other companies in wich a participating is held"
8111,Dividends from associated companies
8112,Dividends from from jointly controlled companies
8113,Dividends from other companies in wich a participating is held
8116,"Capitalisation issue, associated companies"
8117,"Capitalisation issue, from  jointly controlled companies"
8118,"Capitalisation issue, from other companies in wich a participating is held"
8120,"Proceeds from sale of participations in associated companies, jointly controlled companies and other companies in wich a participating is held"
8121,Proceeds from sale of participations in associated companies
8122,Proceeds from sale of participations in jointly controlled companies
8123,Proceeds from sale of participations in other companies in wich a participating is held
8130,"Profit share in partnerships in associated companies, jointly controlled companies and other companies in wich a participating is held"
8131,Profit share in partnerships in associated companies
8132,Profit share in jointly controlled companies
8133,Profit share in partnerships in other companies in wich a participating is held
8170,"Write-downs of participations and long-term receivables, associated companies, jointly controlled companies and other companies in wich a participating is held"
8171,Write-downs of participations in associated companies
8172,"Write-downs of long-term receivables, associated companies"
8173,Write-downs of participations in jointly controlled companies
8174,"Write-downs of long-term receivables, jointly controlled companies"
8176,Write-downs of participations in other companies in wich a participating is held
8177,"Write-downs of long-term receivables, other companies in wich a participating is held"
8180,"Reversed write-downs of participations and long-term receivables, associated companies, jointly controlled companies and other companies in wich a participating is held"
8181,Reversal of write-down of participations in associated companies
8182,"Reversal of write-down of long-term receivables, associated companies"
8183,"Reversed write-downs of participations,  jointly controlled companies"
8184,"Reversed write-downs of long-term receivables, jointly controlled companies"
8186,"Reversed write-downs of participations, other companies in wich a participating is held"
8187,"Reversed write-downs  long-term receivables, other companies in wich a participating is held"
8210,Dividends on investments in other com­panies
8212,"Dividends, other companies"
8216,"Capitalisation issue, other companies"
8220,"Proceeds from sale of securities and long-term receivables, other companies"
8221,Proceeds from sale of participations in other companies
8222,"Proceeds from sale of long-term receivables, other companies"
8223,Gain/loss on sale of derivatives (long-term securities holdings)
8230,Exchange differences on long-term receivables
8231,Exchange gains on long-term receivables
8236,Exchange losses on long-term receivables
8240,Profit share from partnerships (other companies)
8250,Interest income from long-term receivables and securities in other companies
8251,Interest income from long-term receivables
8252,Interest income from other securities
8254,"Tax exempt interest income, long-term assets"
8255,Tax on capital investment
8260,"Interest income from long-term receivables, group companies"
8261,"Interest income from long-term receivables, parent company"
8262,"Interest income from long-term receivables, subsidiaries"
8263,"Interest income from long-term receivables, other group companies"
8270,"Write-downs of participations and long-term receivables, other companies"
8271,Write-downs of participations in other companies
8272,"Write-downs of long-term receivables, other companies"
8273,"Write-downs of other securities, other companies"
8280,"Reversal of write-downs of participations and long-term receivables, other companies"
8281,Reversal of write-downs of participations in other companies
8282,"Reversal of write-downs of long‑term receivables, other companies"
8283,Reversal of write-downs of other securities in other companies
8290,"Fair value measurement, fixed assets"
8291,Unrealised value changes in fixed assets
8295,Unrealised value changes in derivative instruments
8310,Interest income from current assets
8311,"Interest income, banks"
8312,"Interest income, short-term deposits"
8313,"Interest income, current receivables"
8314,"Interest income, tax-exempt"
8317,"Interest income, hidden interest rate compensation"
8319,Other interest income from current assets
8320,"Fair value measurement, current assets"
8321,Unrealised value changes in current assets
8325,Unrealised value changes in derivative instruments (current assets)
8330,Exchange differences on current recei­vables and investments
8331,Exchange gains on current receivables and investments
8336,Exchange losses on current receivables and investments
8340,Dividends from short-term investments
8350,Proceeds from sale of short-term investments
8360,Other interest income from group com­panies
8361,Other interest income from par­ent company
8362,Other interest income from sub­sidiaries
8363,Other interest income from other group companies
8370,Write-downs of short-term investments
8380,Reversal of write-downs of short-term investments
8390,Other financial income
8400,Interest expense (control account)
8410,Interest expense on long-term liabilities
8411,"Interest expense for bond, debenture and convertible loans"
8412,Interest portion of pension costs
8413,"Interest expense, overdraft facility"
8414,"Interest expense, construction loan"
8415,Interest expense on other liabilities to credit institutions
8417,"Interest expense, hidden interest rate compensation etc."
8418,Deductible interest subsidies
8419,Other interest expense on long-term liabilities
8420,Interest expense on current liabilities
8421,Interest expense to credit insti­tutions
8422,Penalty interest expense for accounts payable – trade
8423,Interest expense on taxes and charges
8424,Interest expense with a building
8429,Other interest expense on cur­rent liabilities
8430,Exchange differences on liabilities
8431,Exchange gains on liabilities
8436,Exchange losses on liabilities
8440,Interest subsidies received
8450,Unrealised value changes in liabilities
8451,Unrealised value changes in lia­bilities
8455,Unrealised value changes in hedging instruments
8460,Interest expense to group companies
8461,Interest expense to parent com­pany
8462,Interest expense to subsidiaries
8463,Interest expense to other group companies
8480,Capitalised interest
8490,Other liability-related items
8491,Settlements from schemes of arrangement for liabilities to credit institutions etc.
8810,Change in tax allocation reserve
8811,Transfer to tax allocation reserve
8819,Reversal from tax allocation reserve
8820,Group contributions received
8830,Group contributions paid
8840,Reimbursements
8850,Change in excess depreciation/amortisation
8851,"Change in excess amortisation, intangible fixed assets"
8852,"Change in excess depreciation, buildings and land improvements"
8853,"Change in excess depreciation, machinery and equipment"
8860,Change in replacement reserve
8861,Transfer to replacement reserve for equipment
8862,Transfer to replacement reserve for buildings and land improvements
8864,Transfer to replacement reserve for stocks of farming animals and reindeer
8865,Transfer from replacement reserve for depreciation
8866,Transfer from replacement reserve for purposes other than depreciation
8869,Transfer from replacement reserve
8890,Other appropriations
8892,Write-downs of fixed assets on consolidation
8896,Change in inventory reserve
8899,Other appropriations
8910,Tax charged to profit/loss for the year
8920,Tax due to changed taxation
8930,Tax refund
8940,Deferred tax
8980,Other taxes
8990,Result
8999,Result for the year
